City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
315,Betamcherla,IN,78.06,scattered clouds,15.4667,78.1667,
316,Dingle,PH,77.43,overcast clouds,10.9995,122.6711,
317,Alexandria,EG,81.14,clear sky,31.2156,29.9553,
323,Panormos,GR,89.11,clear sky,35.4182,24.6909,
324,Havelock,US,89.58,overcast clouds,34.8791,-76.9013,
327,Phetchabun,TH,75.43,overcast clouds,16.25,101.0833,
329,Lethem,GY,80.42,moderate rain,3.3803,-59.7968,
330,Acarau,BR,81.81,overcast clouds,-2.8856,-40.12,
332,Fuquay-Varina,US,89.62,heavy intensity rain,35.5843,-78.8,
333,Marsh Harbour,BS,85.26,broken clouds,26.5412,-77.0636,
334,Guatire,VE,86.5,broken clouds,10.4762,-66.5427,
337,Tessalit,ML,88.45,clear sky,20.1986,1.0114,
339,Kerman,IR,84.06,clear sky,30.2832,57.0788,
340,Padang,ID,75.16,overcast clouds,-0.9492,100.3543,
343,Harper,LR,76.01,broken clouds,4.375,-7.7169,
345,Zhuhai,CN,85.05,scattered clouds,22.2769,113.5678,
346,Bull Savanna,JM,85.59,few clouds,17.8868,-77.5902,
347,Erzin,TR,81.0,clear sky,36.9559,36.2,
349,Creston,US,79.72,clear sky,41.0586,-94.3614,
351,Shingu,JP,78.91,overcast clouds,33.7333,135.9833,
353,Seoul,KR,76.6,light rain,37.5683,126.9778,
364,Karimpur,IN,78.85,overcast clouds,23.9667,88.6167,
365,Barcelona,ES,76.6,few clouds,41.3888,2.159,
366,Dhidhdhoo,MV,82.63,overcast clouds,6.8833,73.1,
367,Hay River,CA,85.98,broken clouds,60.8156,-115.7999,
368,Kavaratti,IN,82.18,broken clouds,10.5669,72.642,
370,Porbandar,IN,81.25,overcast clouds,21.6422,69.6093,
371,Gashua,NG,89.17,overcast clouds,12.871,11.0482,
372,Atasu,KZ,75.9,few clouds,48.6814,71.6433,
373,Auki,SB,75.94,overcast clouds,-8.7676,160.7034,
379,Kumi,KR,78.48,overcast clouds,36.1136,128.336,
381,Lahaina,US,83.44,clear sky,20.8783,-156.6825,
386,Chanute,US,84.42,clear sky,37.6792,-95.4572,
387,Alofi,NU,75.09,few clouds,-19.0595,-169.9187,
389,Minudasht,IR,78.91,clear sky,37.2289,55.3747,
391,Pitimbu,BR,81.19,clear sky,-7.4706,-34.8086,
401,Benghazi,LY,83.12,clear sky,32.1167,20.0667,
403,Asau,RO,76.28,light rain,46.4333,26.4,
406,Puerto Palomas,MX,85.33,scattered clouds,31.7667,-107.6167,
407,Nagato,JP,80.51,moderate rain,34.3833,131.2,
410,Zacatepec,MX,88.65,clear sky,18.65,-99.2,
415,Sabzevar,IR,78.44,clear sky,36.2126,57.6819,
426,Yenagoa,NG,77.4,overcast clouds,4.9247,6.2642,
427,Ponnani,IN,76.32,broken clouds,10.767,75.9252,
430,Yarada,IN,84.52,scattered clouds,17.65,83.2667,
431,Labuan,MY,79.16,thunderstorm,5.2767,115.2417,
435,Mayo,US,79.34,mist,38.8876,-76.5119,
444,Jiujiang,CN,79.88,clear sky,29.7333,115.9833,
445,Balkanabat,TM,88.54,broken clouds,39.5108,54.3671,
451,Bat Yam,IL,86.65,clear sky,32.0231,34.7503,
452,Passos,BR,75.7,clear sky,-20.7189,-46.6097,
455,Ashdod,IL,86.81,clear sky,31.8167,34.65,
456,Impfondo,CG,75.72,overcast clouds,1.6381,18.0667,
459,Wewak,PG,77.11,few clouds,-3.5534,143.6268,
460,Natal,BR,80.82,broken clouds,-5.795,-35.2094,
461,Thinadhoo,MV,81.82,overcast clouds,0.5333,72.9333,
463,La Raya De Santa Maria,PA,84.58,overcast clouds,8.1667,-80.8167,
464,Sao Gabriel Da Cachoeira,BR,78.6,broken clouds,-0.1303,-67.0892,
467,San Pedro,PH,82.35,moderate rain,14.35,121.0167,
470,Whitehorse,CA,78.1,few clouds,60.7161,-135.0538,
472,Puyang,CN,75.83,scattered clouds,29.4603,119.8861,
476,Mucurapo,TT,86.97,few clouds,10.6667,-61.5333,
477,Sajanan,TN,79.72,scattered clouds,37.0573,9.2426,
487,Xinpu,CN,75.11,clear sky,34.5997,119.1594,
491,Chaman,PK,81.54,clear sky,30.9236,66.4512,
497,Grand-Santi,GF,78.42,light rain,4.25,-54.3833,
503,Jiwani,PK,81.84,overcast clouds,25.05,61.7417,
505,Acapulco,MX,87.94,overcast clouds,16.8634,-99.8901,
507,Mangan,IN,76.59,overcast clouds,27.5167,88.5333,
508,Pandan,PH,82.72,light rain,14.0453,124.1694,
509,Half Moon Bay,US,85.8,few clouds,37.4636,-122.4286,
514,Guerrero Negro,MX,85.6,clear sky,27.9769,-114.0611,
521,Brokopondo,SR,85.53,few clouds,4.75,-55.1667,
522,Careiro Da Varzea,BR,86.61,broken clouds,-3.2003,-59.8119,
524,Sompeta,IN,83.23,overcast clouds,18.9333,84.6,
525,Arawa,PG,75.33,light rain,-6.2132,155.5367,
